onset	duration	trial_type	stim_file	stim_file_index	response_time	outcome	note
0.008	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
1.008	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
2.007	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
3.008	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
4.002	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
5.002	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
6.002	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
7.003	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
8.003	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
9.004	0.0	n/a	n/a	n/a	0.370	hit	n/a
10.005	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
11.004	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
12.004	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
13.004	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
14.005	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
15.006	0.0	n/a	n/a	n/a	n/a	correct_rejection	n/a
16.005	0.3	48	task-sfprescaled_stimuli.npy	415	0.682	hit	blank trial
16.506	0.3	48	task-sfprescaled_stimuli.npy	414	n/a	n/a	blank trial
17.006	0.3	48	task-sfprescaled_stimuli.npy	411	n/a	correct_rejection	blank trial
17.506	0.3	48	task-sfprescaled_stimuli.npy	410	n/a	n/a	blank trial
18.007	0.3	48	task-sfprescaled_stimuli.npy	409	n/a	correct_rejection	blank trial
18.506	0.3	48	task-sfprescaled_stimuli.npy	413	n/a	n/a	blank trial
19.006	0.3	48	task-sfprescaled_stimuli.npy	412	n/a	correct_rejection	blank trial
19.507	0.3	48	task-sfprescaled_stimuli.npy	408	n/a	n/a	blank trial
20.007	0.3	29	task-sfprescaled_stimuli.npy	235	n/a	correct_rejection	n/a
20.507	0.3	29	task-sfprescaled_stimuli.npy	238	n/a	n/a	n/a
21.007	0.3	29	task-sfprescaled_stimuli.npy	239	n/a	correct_rejection	n/a
21.508	0.3	29	task-sfprescaled_stimuli.npy	236	n/a	n/a	n/a
22.008	0.3	29	task-sfprescaled_stimuli.npy	234	n/a	correct_rejection	n/a
22.508	0.3	29	task-sfprescaled_stimuli.npy	233	n/a	n/a	n/a
23.008	0.3	29	task-sfprescaled_stimuli.npy	237	n/a	correct_rejection	n/a
23.507	0.3	29	task-sfprescaled_stimuli.npy	232	n/a	n/a	n/a
24.007	0.3	10	task-sfprescaled_stimuli.npy	86	n/a	correct_rejection	n/a
24.507	0.3	10	task-sfprescaled_stimuli.npy	83	n/a	n/a	n/a
25.008	0.3	10	task-sfprescaled_stimuli.npy	80	0.313	hit	n/a
25.508	0.3	10	task-sfprescaled_stimuli.npy	84	n/a	n/a	n/a
26.007	0.3	10	task-sfprescaled_stimuli.npy	81	n/a	correct_rejection	n/a
26.507	0.3	10	task-sfprescaled_stimuli.npy	87	n/a	n/a	n/a
27.007	0.3	10	task-sfprescaled_stimuli.npy	82	n/a	correct_rejection	n/a
27.507	0.3	10	task-sfprescaled_stimuli.npy	85	n/a	n/a	n/a
28.008	0.3	46	task-sfprescaled_stimuli.npy	372	n/a	correct_rejection	n/a
28.508	0.3	46	task-sfprescaled_stimuli.npy	373	n/a	n/a	n/a
29.007	0.3	46	task-sfprescaled_stimuli.npy	374	n/a	correct_rejection	n/a
29.508	0.3	46	task-sfprescaled_stimuli.npy	375	n/a	n/a	n/a
30.007	0.3	46	task-sfprescaled_stimuli.npy	369	n/a	correct_rejection	n/a
30.508	0.3	46	task-sfprescaled_stimuli.npy	371	n/a	n/a	n/a
31.008	0.3	46	task-sfprescaled_stimuli.npy	370	n/a	correct_rejection	n/a
31.508	0.3	46	task-sfprescaled_stimuli.npy	368	n/a	n/a	n/a
32.007	0.3	45	task-sfprescaled_stimuli.npy	365	0.408	hit	n/a
32.507	0.3	45	task-sfprescaled_stimuli.npy	361	n/a	n/a	n/a
33.007	0.3	45	task-sfprescaled_stimuli.npy	366	n/a	correct_rejection	n/a
33.507	0.3	45	task-sfprescaled_stimuli.npy	360	n/a	n/a	n/a
34.007	0.3	45	task-sfprescaled_stimuli.npy	367	n/a	correct_rejection	n/a
34.507	0.3	45	task-sfprescaled_stimuli.npy	363	n/a	n/a	n/a
35.007	0.3	45	task-sfprescaled_stimuli.npy	362	n/a	correct_rejection	n/a
35.508	0.3	45	task-sfprescaled_stimuli.npy	364	n/a	n/a	n/a
36.006	0.3	20	task-sfprescaled_stimuli.npy	160	n/a	correct_rejection	n/a
36.507	0.3	20	task-sfprescaled_stimuli.npy	167	n/a	n/a	n/a
37.007	0.3	20	task-sfprescaled_stimuli.npy	165	n/a	correct_rejection	n/a
37.507	0.3	20	task-sfprescaled_stimuli.npy	163	n/a	n/a	n/a
38.007	0.3	20	task-sfprescaled_stimuli.npy	162	n/a	correct_rejection	n/a
38.507	0.3	20	task-sfprescaled_stimuli.npy	166	n/a	n/a	n/a
39.007	0.3	20	task-sfprescaled_stimuli.npy	164	n/a	correct_rejection	n/a
39.508	0.3	20	task-sfprescaled_stimuli.npy	161	n/a	n/a	n/a
40.007	0.3	22	task-sfprescaled_stimuli.npy	178	n/a	correct_rejection	n/a
40.508	0.3	22	task-sfprescaled_stimuli.npy	181	n/a	n/a	n/a
41.007	0.3	22	task-sfprescaled_stimuli.npy	180	n/a	correct_rejection	n/a
41.508	0.3	22	task-sfprescaled_stimuli.npy	182	n/a	n/a	n/a
42.007	0.3	22	task-sfprescaled_stimuli.npy	183	n/a	correct_rejection	n/a
42.507	0.3	22	task-sfprescaled_stimuli.npy	176	n/a	n/a	n/a
43.008	0.3	22	task-sfprescaled_stimuli.npy	179	0.459	hit	n/a
43.508	0.3	22	task-sfprescaled_stimuli.npy	177	n/a	n/a	n/a
44.007	0.3	35	task-sfprescaled_stimuli.npy	281	n/a	correct_rejection	n/a
44.507	0.3	35	task-sfprescaled_stimuli.npy	280	n/a	n/a	n/a
45.007	0.3	35	task-sfprescaled_stimuli.npy	283	n/a	correct_rejection	n/a
45.508	0.3	35	task-sfprescaled_stimuli.npy	285	n/a	n/a	n/a
46.007	0.3	35	task-sfprescaled_stimuli.npy	282	n/a	correct_rejection	n/a
46.507	0.3	35	task-sfprescaled_stimuli.npy	287	n/a	n/a	n/a
47.007	0.3	35	task-sfprescaled_stimuli.npy	284	n/a	correct_rejection	n/a
47.508	0.3	35	task-sfprescaled_stimuli.npy	286	n/a	n/a	n/a
48.007	0.3	24	task-sfprescaled_stimuli.npy	197	0.596	hit	n/a
48.507	0.3	24	task-sfprescaled_stimuli.npy	196	n/a	n/a	n/a
49.007	0.3	24	task-sfprescaled_stimuli.npy	194	n/a	correct_rejection	n/a
49.507	0.3	24	task-sfprescaled_stimuli.npy	199	n/a	n/a	n/a
50.007	0.3	24	task-sfprescaled_stimuli.npy	198	n/a	correct_rejection	n/a
50.507	0.3	24	task-sfprescaled_stimuli.npy	193	n/a	n/a	n/a
51.007	0.3	24	task-sfprescaled_stimuli.npy	195	n/a	correct_rejection	n/a
51.507	0.3	24	task-sfprescaled_stimuli.npy	192	n/a	n/a	n/a
52.007	0.3	23	task-sfprescaled_stimuli.npy	191	n/a	correct_rejection	n/a
52.508	0.3	23	task-sfprescaled_stimuli.npy	186	n/a	n/a	n/a
53.007	0.3	23	task-sfprescaled_stimuli.npy	184	n/a	correct_rejection	n/a
53.508	0.3	23	task-sfprescaled_stimuli.npy	190	n/a	n/a	n/a
54.003	0.3	23	task-sfprescaled_stimuli.npy	185	0.403	hit	n/a
54.503	0.3	23	task-sfprescaled_stimuli.npy	188	n/a	n/a	n/a
55.002	0.3	23	task-sfprescaled_stimuli.npy	187	n/a	correct_rejection	n/a
55.503	0.3	23	task-sfprescaled_stimuli.npy	189	n/a	n/a	n/a
56.002	0.3	48	task-sfprescaled_stimuli.npy	390	n/a	correct_rejection	blank trial
56.503	0.3	48	task-sfprescaled_stimuli.npy	386	n/a	n/a	blank trial
57.003	0.3	48	task-sfprescaled_stimuli.npy	391	n/a	correct_rejection	blank trial
57.503	0.3	48	task-sfprescaled_stimuli.npy	384	n/a	n/a	blank trial
58.003	0.3	48	task-sfprescaled_stimuli.npy	388	n/a	correct_rejection	blank trial
58.502	0.3	48	task-sfprescaled_stimuli.npy	387	n/a	n/a	blank trial
59.004	0.3	48	task-sfprescaled_stimuli.npy	389	n/a	correct_rejection	blank trial
59.504	0.3	48	task-sfprescaled_stimuli.npy	385	n/a	n/a	blank trial
